Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [Cell Origin],Experimental Condition [Cell Type],Experimental Condition [PDX Metastatic Efficiency],Comment [Experiment Date],Source Name,Comment [Series Location],Image File,Comment [Image File Comment],Comment [Image File Path],Comment [Image File Type],Channels
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,6,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,7,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,8,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,9,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140606,140606_A375_MV3,10,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 11)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,11,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 12)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,12,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 13)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,13,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 14)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,14,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 15)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,15,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 16)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,16,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 17)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,17,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 18)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,18,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 19)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,19,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140606_A375_MV3.nd2 [140606_A375_MV3.nd2 (series 20)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140606,140606_A375_MV3,20,140606_A375_MV3.nd2,,data/raw/nd2/140606_A375_MV3.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,1,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,2,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,3,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,4,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,5,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,6,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,7,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,8,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_A375,140609_A375.nd2 [140609_A375.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,A375,           ,140609,140609_A375,9,140609_A375.nd2,,data/raw/nd2/140609_A375.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,1,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,2,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,3,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,4,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,5,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,6,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,7,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,8,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,9,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140611_SKMel2.nd2 [140611_SKMel2.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140611,140611_SKMel2,10,140611_SKMel2.nd2,,data/raw/nd2/140611_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,1,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,2,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,3,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,4,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,5,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,6,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,7,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,8,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,9,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140614,140614_SKMel2_MV3,10,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 11)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,11,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 12)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,12,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 13)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,13,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 14)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,14,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 15)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,15,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 16)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,16,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 17)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,17,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 18)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,18,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 19)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,19,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_MV3,140614_SKMel2_MV3.nd2 [140614_SKMel2_MV3.nd2 (series 20)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,MV3,           ,140614,140614_SKMel2_MV3,20,140614_SKMel2_MV3.nd2,,data/raw/nd2/140614_SKMel2_MV3.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,1,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,2,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,3,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,4,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,5,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,6,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,7,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,8,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,9,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_SKMel2,140617_SKMel2.nd2 [140617_SKMel2.nd2 (series 10)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,SKMel2,           ,140617,140617_SKMel2,10,140617_SKMel2.nd2,,data/raw/nd2/140617_SKMel2.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 01)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,1,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 02)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,2,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 03)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,3,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 04)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,4,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 05)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,5,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 06)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,6,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 07)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,7,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 08)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,8,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
Cell Line_WM1361,140619_WM1361_WM1366.nd2 [140619_WM1361_WM1366.nd2 (series 09)],Homo sapiens,NCBITaxon,NCBITaxon_9606,Cell Line,WM1361,           ,140619,140619_WM1361_WM1366,9,140619_WM1361_WM1366.nd2,,data/raw/nd2/140619_WM1361_WM1366.nd2,raw,Phase contrast: Cells
